X,Y,kind
-0.17803692961052953,-6.734531149244194,location_marker_a
-0.1730199748577792,6.768164752630175,location_marker_b
1.0176022668375846,-2.4713957515587004,weed
2.527503349324412,3.640390726426226,weed
-3.8461478229207327,3.3592051479413048,weed
3.210767834650207,-0.10545747874509814,weed
-3.8388108511926933,-2.974299529678638,weed
1.380080157200116,-2.384204955758468,litter
-0.6317102105181056,-0.27983729809726166,litter
-2.424643711144239,1.3387448317208532,litter
0.3928440967583371,-3.528255141955865,litter
1.7621203124720668,-0.614933903281369,litter
-3.959308127947146,-4.281196994787157,crop
-3.981730615292083,-4.089410425691899,crop
-3.9760862282693874,-3.6272039207766316,crop
-3.956991871640206,-3.459193280646819,crop
-3.963058800010759,-3.271645160312329,crop
-3.9442893735282185,-3.118059431727182,crop
-3.968395836453436,-2.9472941060413,crop
-3.962562363461477,-2.7806044399889647,crop
-3.9600501088740687,-2.655121335310269,crop
-3.97990071678269,-2.4604571108827704,crop
-3.970898445557774,-2.310372063378018,crop
-3.970926822567187,-2.128842725550042,crop
-3.9457788794718374,-1.9463884768340587,crop
-3.959100467555688,-1.8008417170869357,crop
-3.9833708767976623,-1.628151368092165,crop
-3.966672482270892,-1.4720934815593263,crop
-3.953164842899073,-1.3241938583487265,crop
-3.9602232647023294,-1.1721245489710652,crop
-3.9651836786508894,-1.0340697122128808,crop
-3.9678813556609596,-0.9070619262025761,crop
-3.9674703557443403,-0.7123601104058559,crop
-3.9696520506703887,-0.5736019365691796,crop
-3.9805036661323396,-0.3838461711441878,crop
-3.9619455904673204,-0.2542176740572594,crop
-3.954304891302916,-0.096304413987438,crop
-3.9722264035259847,0.09224251352369534,crop
-3.9766714925352646,0.2101262205359556,crop
-3.977070325317118,0.3745663723334696,crop
-3.952030163784183,0.5715208304269863,crop
-3.9708198623132165,0.7248303350507506,crop
-3.9702242424001706,0.8812292358710092,crop
-3.9687632363933396,1.0440937612354082,crop
-3.958064521358821,1.2187211603315307,crop
-3.9703831253503283,1.404863025874704,crop
-3.951948133624524,1.565075675353012,crop
-3.9786693398549904,1.768693556961792,crop
-3.9725558057631734,2.2388891758700264,crop
-3.9543854185359884,3.186024247630499,crop
-3.982231041934558,3.3386824326916322,crop
-3.9781875036442615,3.483517219423172,crop
-3.9754536148871686,3.6108076633092443,crop
-3.9599027473828268,3.7616433201735777,crop
