X,Y,kind
-1.5246273069014602,-3.437871949717523,crop
-1.532448337221571,-3.2893863125498326,crop
-1.5224947021601716,-3.0967566570038008,crop
-1.526860145830008,-2.953155996295873,crop
-1.5241401324974544,-2.845238133101734,crop
-1.5181506815135284,-2.6674840460921505,crop
-1.5297224175484907,-2.4780338639483195,crop
-1.5208121233844536,-2.3511969963878823,crop
-1.5118311529035273,-2.142716879230842,crop
-1.515731010368151,-1.9753291923640275,crop
-1.5219199798534822,-1.8188657871715912,crop
-1.5198721041663632,-1.663237801095551,crop
-1.5042969392391912,-1.498012281404895,crop
-1.5076326487057916,-1.3577187592720221,crop
-1.5060330126899133,-1.1901746784154168,crop
-1.5246744558852856,-1.0352985811796647,crop
-1.525349113655387,-0.8906902356961035,crop
-1.5141130054682992,-0.7251360992895142,crop
-1.5104862192179571,-0.6132947379937954,crop
-1.5017645907026884,-0.4635619912894328,crop
-1.5277042230884328,-0.26227960067304873,crop
-1.5185292583457917,-0.09032188607677202,crop
-1.5280297326627992,0.07036475358461283,crop
-1.5060994499669589,0.25532947559823366,crop
-1.5174563409692399,0.45919722030633797,crop
-1.5038338866870091,0.5944189097597754,crop
-1.519670023979582,0.784291595389415,crop
-1.5320218038622708,0.9568973911074858,crop
-1.5324731439027481,1.1017133509820305,crop
-1.5162174541706444,1.2699993700922028,crop
-1.5440626764364753,1.4407396246744109,crop
-1.5397376241422482,1.5835676356655635,crop
-1.5670215888955477,1.7409079998415369,crop
-1.5817574713009561,1.9107364098579442,crop
-1.632093823713065,2.0974426521117775,crop
-1.6778940941331657,2.252874526311586,crop
-1.7419211355468582,2.42163841804726,crop
-0.7665312805575984,-3.4071859799344293,crop
-0.7821532791579592,-3.249250014809979,crop
-0.7640151968683756,-3.0802341095988686,crop
-0.7708958374248461,-2.91923876509936,crop
-0.7649835190361666,-2.7612572365678316,crop
-0.7651255300720686,-2.610186503844296,crop
-0.778799264185721,-2.4530155504971076,crop
-0.766755287772752,-2.3177371149448374,crop
-0.7720433266669257,-2.149542729968379,crop
-0.7836059083933221,-1.9983736853654361,crop
-0.7730221234557696,-1.8123633592784458,crop
-0.7562461751127688,-1.678031226860219,crop
-0.7596371513473325,-1.5132847329471097,crop
-0.7742191812667151,-1.3391851050341879,crop
-0.778996341228542,-1.1921055495180457,crop
-0.7740809961745047,-1.0257025679800826,crop
-0.7814946230619509,-0.888640550119274,crop
-0.7646035646304036,-0.7338088661998678,crop
-0.7819129070062075,-0.5497614494597423,crop
-0.767224382807889,-0.3531187153216108,crop
-0.7842686978816605,-0.19087764699567586,crop
-0.7626728704282594,-0.02433895153293949,crop
-0.7511584150769023,0.13103616273881327,crop
-0.7652464434078626,0.3313382294788563,crop
-0.7493850338641342,0.4493068798472242,crop
-0.7584017526928969,0.6060490135431131,crop
-0.7777886243754387,0.7628688386661004,crop
-0.7637042153311414,0.9549652124493762,crop
-0.7829368220593388,1.1208679680033946,crop
-0.7528528949040204,1.2724826318846596,crop
-0.7684844046350828,1.4565305673578461,crop
-0.812642842735264,1.6389437103494429,crop
-0.8215274323048137,1.7903062000028405,crop
-0.8208123825656469,1.9534654100348352,crop
-0.8590059963200297,2.080189682112658,crop
-0.901480515157975,2.246069865659344,crop
-0.9326691975862603,2.40291861261255,crop
-0.9862543086076359,2.5203317755797845,crop
-1.0243234459852766,2.68629322871837,crop
-0.009409688490363576,-3.4473576557335934,crop
-0.02130441695129367,-3.3072108508232025,crop
-0.029694064956871956,-3.147006253420326,crop
-0.02604858901714687,-2.982128044714738,crop
-0.02430858807645194,-2.8290127119973087,crop
-0.015686795205559677,-2.6830011097165727,crop
-0.033296716889573884,-2.4941468030189755,crop
-0.027473577606634124,-2.365161449633362,crop
-0.0271372738486226,-2.2090436556728728,crop
-0.0008885953066534932,-2.042362915136361,crop
0.00107606024467536,-1.8561225509810435,crop
-0.010602296035069757,-1.6543377208798458,crop
0.00014302794183288642,-1.495259133292061,crop
-0.003014276143749016,-1.34438668982504,crop
-0.02319815433466129,-1.1543063948647514,crop
-0.02056529146612137,-1.0032671915309248,crop
-0.01021540238643711,-0.8588475657708201,crop
-0.013522998886345193,-0.7121385636337398,crop
-0.02708696179578226,-0.5362180072876581,crop
0.0008700212657295828,-0.3651792846156982,crop
-0.01069936165737314,-0.20030653420793218,crop
-0.025465983863679452,-0.03189766671435353,crop
-0.01741093123152023,0.09973504647716983,crop
0.002975949585199124,0.28483150831770826,crop
-0.004671140176788456,0.4346597086069515,crop
-0.032037219806682025,0.5894830138681304,crop
-0.03287440402297378,0.7677378124494629,crop
-0.00651333133129791,0.9551033988812494,crop
-0.02276068751401491,1.0855463124271572,crop
-0.014064095012661558,1.2374405707817255,crop
